Pi_(MPa),Pf_(MPa)
0,0.000001
0.00942199,0.004885795
0.02212252,0.013799862
0.02894253,0.021578896
0.03656841,0.028380964
0.04692656,0.035234885
0.05581058,0.041292045
0.06084136,0.045024062
0.06363454,0.046341573
0.06976822,0.048390478
0.07275459,0.049093383
0.07438673,0.048390478
0.08546685,0.052008599
0.09183836,0.055096923
0.09433825,0.055897244
0.09735475,0.055897244
0.10410693,0.05753293
0.11491542,0.061834625
0.11295688,0.060949295
0.12795116,0.066457955
0.15239409,0.080161641
0.16913077,0.095306643
0.17759840,0.106961518
0.23162461,0.140677768
